Agency,State,2007,2008,2009,2010,2011,2012,
Birmingham Police Dept,AL,3320,3249,2812,,3163,3237, 
Huntsville Police Dept,AL,1379,1222,1164,1182,1518,1696, 
Mobile Police Dept,AL,1144,1204,1994,1702,1619,1314, 
Montgomery Police Dept,AL,1157,883,871,797,707,827, 
Anchorage Police Dept,AK,2405,2647,2488,2432,2388,2479, 
Chandler Police Dept,AZ,823,801,740,691,681,628, 
Gilbert Police Dept,AZ,236,239,198,206,178,205, 
Glendale Police Dept,AZ,1508,1330,1147,963,1114,1145, 
Mesa Police Dept,AZ,2224,2289,2000,1790,1838,1804, 
Peoria Police Dept,AZ,355,315,319,282,301,296, 
Phoenix Police Dept,AZ,11158,10465,8730,8001,8089,9458, 
Scottsdale Police Dept,AZ,438,423,410,353,400,329, 
Surprise Police Dept,AZ,154,115,111,106,131,162, 
Tempe Police Dept,AZ,916,856,922,779,787,878, 
Tucson Police Dept,AZ,4103,4252,3560,3331,3440,3851, 
Little Rock Police Dept,AR,2987,2353,2800,2945,2905,2579, 
Anaheim Police Dept,CA,1423,1312,1184,1161,1281,1279, 
Antioch Police Dept,CA,860,875,897,864,818,1068, 
Bakersfield Police Dept,CA,1961,2077,2099,2104,1866,1929, 
Berkeley Police Dept,CA,639,652,615,533,482,487, 
Burbank Police Dept,CA,274,235,253,221,191,243, 
Carslbad Police Dept,CA,318,227,287,195,210,265, 
Chula Vista Police Dept,CA,921,832,747,663,670,581, 
City Of Murrieta Police Dept,CA,118,89,118,99,105,70, 
Concord Police Dept,CA,492,425,397,551,430,402, 
Corona Police Dept,CA,340,283,214,199,200,210, 
Costa Mesa Police Dept,CA,258,350,304,240,231,254, 
Daly City Police Dept,CA,293,283,240,250,184,216, 
Downey Police Dept,CA,516,451,444,394,390,381, 
El Cajon Police Dept,CA,494,528,461,387,529,365, 
El Monte Police Dept,CA,686,800,716,600,421,395, 
Escondido Police Dept,CA,657,567,629,597,495,628, 
Fairfield Police Dept,CA,632,546,437,502,425,454, 
Fontana Police Dept,CA,896,868,859,759,720,850, 
Fremont Police Dept,CA,606,575,490,488,384,306, 
Fresno Police Dept,CA,3043,2782,2933,3034,2915,2748, 
