Birmingham Police Dept	AL	3,320	3,249	2,812	 	3,163	3,237
Huntsville Police Dept	AL	1,379	1,222	1,164	1,182	1,518	1,696
Mobile Police Dept	AL	1,144	1,204	1,994	1,702	1,619	1,314
Montgomery Police Dept	AL	1,157	883	871	797	707	827
Anchorage Police Dept	AK	2,405	2,647	2,488	2,432	2,388	2,479
Chandler Police Dept	AZ	823	801	740	691	681	628
Gilbert Police Dept	AZ	236	239	198	206	178	205
Glendale Police Dept	AZ	1,508	1,330	1,147	963	1,114	1,145
Mesa Police Dept	AZ	2,224	2,289	2,000	1,790	1,838	1,804
Peoria Police Dept	AZ	355	315	319	282	301	296
Phoenix Police Dept	AZ	11,158	10,465	8,730	8,001	8,089	9,458
Scottsdale Police Dept	AZ	438	423	410	353	400	329
Surprise Police Dept	AZ	154	115	111	106	131	162
Tempe Police Dept	AZ	916	856	922	779	787	878
Tucson Police Dept	AZ	4,103	4,252	3,560	3,331	3,440	3,851
Little Rock Police Dept	AR	2,987	2,353	2,800	2,945	2,905	2,579
Anaheim Police Dept	CA	1,423	1,312	1,184	1,161	1,281	1,279
Antioch Police Dept	CA	860	875	897	864	818	1,068
Bakersfield Police Dept	CA	1,961	2,077	2,099	2,104	1,866	1,929
Berkeley Police Dept	CA	639	652	615	533	482	487
Burbank Police Dept	CA	274	235	253	221	191	243
Carslbad Police Dept	CA	318	227	287	195	210	265
Chula Vista Police Dept	CA	921	832	747	663	670	581
City Of Murrieta Police Dept	CA	118	89	118	99	105	70
Concord Police Dept	CA	492	425	397	551	430	402
Corona Police Dept	CA	340	283	214	199	200	210
Costa Mesa Police Dept	CA	258	350	304	240	231	254
Daly City Police Dept	CA	293	283	240	250	184	216
Downey Police Dept	CA	516	451	444	394	390	381
El Cajon Police Dept	CA	494	528	461	387	529	365
El Monte Police Dept	CA	686	800	716	600	421	395
Escondido Police Dept	CA	657	567	629	597	495	628
Fairfield Police Dept	CA	632	546	437	502	425	454
Fontana Police Dept	CA	896	868	859	759	720	850
Fremont Police Dept	CA	606	575	490	488	384	306
Fresno Police Dept	CA	3,043	2,782	2,933	3,034	2,915	2,748
Fullerton Police Dept	CA	467	410	526	425	306	452
